tags,PT_BR,EN_US,BOAT_
ADICIONAIS_DESATIVAR_EFEITO_DE_EXPLOSAO,2. Desativar efeito de explosao,2. Disable explosion effect,2. DISABLE CANNON SHAKE
ADICIONAIS_ATIVAR_MODO_DEBUG,3. Ativar modo debug,3. Enable debug mode,3. ENABLE CAPTAIN LOGBOOK
ADICIONAIS_DESATIVAR_MODO_DEBUG,3. Desativar modo debug,3. Disable debug mode,3. DISABLE CAPTAIN LOGBOOK
CODIGO_N_IMPLEMENTADO,Nao implementado.,Not implemented.,boat
HUD_FASE_ATUAL,"CH C, FASE F","CH C,  LVL F","LG C,  SEA F"
HUD_INIMIGOS_RESTANTES,INIMIGOS:  X,ENEMIES:   X,HOSTILES:  X
HUD_VIDAS_RESTANTES,VIDAS: X,LEFT:  X,SHIPS: X
ch0_fase1.scroll,"Bem vindo ao tutorial!
MOVA-SE utilizando WASD

W - para cima
A - para a esquerda
S - para baixo
D - para a direita

Vah ateh a textura de fim de
fase para termina-la.

Pressione BACKSPACE para
voltar ao menu.","Welcome to the tutorial!
MOVE using W A S D

W - up
A - left
S - down
D - right

Go to the exit (SAIDA)
to go to the next level.

Press BACKSPACE to return
to the Menu.",boat
ch0_fase2.scroll,"Para colocar uma bomba,
aperte ENTER ou ESPACO.
Paredes quebraveis nao
sobreviverao ah explosao.

Apos colocar a bomba, se
afaste para nao acabar
explodindo junto.","To place a bomb, press
ENTER or SPACE.
Breakable walls won't
survive the explosion.

After laying a bomb,
dont stay close so you
dont go out with it.",boat
ch0_fase3.scroll,"Fases podem conter INIMIGOS.
Exploda-os para poder passar
de fase. Cuidado: Se tocar
neles, voce morrerah.

E lembre-se que voce soh
pode colocar uma bomba 
por vez por enquanto. ;)","Levels may contain ENEMIES.
Explode them to be able to
pass to the next level.
Beware: if you touch them,
you die.

And keep in mind that you may
only lay one bomb at a time
for now. ;)",boat
ch0_fase4.scroll,"Nessa fase existem dois 
powerups escondidos debaixo
de paredes quebraveis.
Pegue-os, e os terah pelo
resto do capitulo. 

Um deles aumenta
pra 4 o limite de bombas
que voce pode botar, o
outro aumenta a area de
explosao da bomba. 

PS: explosoes atravessam paredes","In this level there are
two powerups hidden below
breakable walls. Take them,
and you'll have them for the
rest of the chapter.

One of them increases to 4 the
bomb laying limit, whilst 
the other increases the
explosion area.

P.S.: explosions go through 
walls",boat
ch0_fase5.scroll,"Isso eh um pergaminho. A 
partir de agora, esse serah o 
meio por qual informacao serah
mostrada. O pergaminho serah
destruido depois de lido.

Outra coisa: a partir de
agora, a saida ficarah
escondida atras de paredes
quebraveis. Consegue achar
ela? (sim)","This is a scroll. From now
on, this will be the way
information will be shown
to you inside the levels.
The scroll will be destroyed
once read.

Also: From this moment forth,
the exit will be hidden beneath
breakable walls. Can you find
it? (yes)",boat
ch0_fase6.scroll,"Fases podem ter tamanhos
diferentes, mas elas nunca
vao sair da tela.

Elas tambem podem ter limite
de tempo. Termine a fase antes
dele acabar ou perca uma vida.

Nao se preocupe: o tempo fica
pausado dentro de um 
pergaminho.

O tempo pode ser visto na
parte superior da tela.","Levels may have different
sizes, but they'll never
go off-screen.

They may also have a time
limit. Complete the level
before time runs out or lose
a life.

Don't worry. Time is paused
while in a scroll.

Time can be seen on the
upper part of the screen.",boat
ch0_fase7.scroll,"Algumas fases terao NPCs
que nao sao INIMIGOS. Eles
nao precisam ser explodidos
para passar de fase.

Eles tambem nao causam
morte ao tocar neles.

Voce pode o ignorar com
seguranca.","Some levels will have NPCs
that are not ENEMIES. They
don't  need to be blown up
to pass to the next level.

They also don't cause your
death on contact.

You can safely ignore them.",boat
ch0_fase8.scroll,"As fases de final de capitulo
vao ter um ELEVADOR (que nem
esse 'E' ahi). Pegue-o para
passar pro proximo capitulo

(Isso irah encerrar o
tutorial!).","The last level of a chapter
will have an ELEVATOR (like
this 'E' south). Take it 
to go to the next chapter.

(This will end the tutorial!)",boat
ch1_fase1.scroll,a vida eh uma tristeza,life is misery,boat
ch1_fase2.scroll,"Amada, estou aqui para te 
dizer que o templo estah
pronto.

Hamurabi jah estah conosco.
Em breve vamos descobrir
como o manter vivo por
toda a eternidade. 

Me manterei em contato por
essas tabuas.","Beloved, I am here to tell you
that the temple is ready.

Hammurabi is already here
with us. Soon we'll discover
how to keep him alive for
all eternity.

I'll keep in touch through
these clay tablets",boat
ch1_fase3.scroll,"Amada, algo terrivel nos
acometeu hoje. Inimigos de
Marduk tentaram invadir nosso
templo. Conseguimos nos
defender, gracas ahs estatuas
sentinelas que conseguimos
montar. Elas devem patrulhar
o tempo sozinhas agora.

Apesar disso, ainda estamos
sitiados! Nao conseguimos sair!
Como vou te mandar essas
tabuas?","Beloved, something awful
has befallen us today.
Enemies of Marduk have tried
to invade our temple. We 
managed to defend, thank to
these sentinel statues we
managed to assemble. They
should patrol the temple
autonomously now.

Despite this, we are still
sieged! We cannot leave! how
will I send you these tablets?",boat
ch1_fase4.scroll,"Amada,

Estamos sem comida e agua.
O Rei nao vai sobreviver por
muito mais tempo. 

Teremos que deixar os
resultados das nossas
pesquisas aqui, inuteis.
O que descobrimos nao eh
o suficiente.

Me perdoe por te deixar.","Beloved,

We have no food nor water.
The King will not survive for
much longer.

We will have to leave the
results of our research here,
useless. What we have found is
simply not enough.

Forgive me for leaving so soon.",boat
ch1_fase5.scroll,"* Voce encontrou o Edito 
da Imortalidade.","* You have found the Edict
of Immortality.",boat
ch2_fase0.scroll,"ANNO MMCCCLV
AB URBE CONDITA

""Enquanto vives, brilhe.
De todo nao te aflijas,
Pois curta eh a vida
E o tempo cobra sua
divida."" -- Seikilos","ANNO MMCCCLV
AB URBE CONDITA

""As long as you live, let the
world see you, and don't make
yourself miserable; life is 
short, and Time demands his 
due."" -- Seikilos",boat
ch2_fase1.scroll,"Admito que prefiriria o
fim que os astrologos
levaram ao eterno
sentimento de culpa
dos legionarios.

Mas eu, mesmo, nao os
culpo. Qualquer um,
ao receber a
imortalidade ao custo
do Imperador, tambem
enlouqueceria.","I admit that I'd rather end
up like the astrologers than
anguish for eternity in
overwhelming guilt like the
legionaries.

But I, myself, blame them
not. Anyone who received
immortality at the cost
of the Imperator would also
go mad.
",boat
ch2_fase2.scroll,"Passei alguns anos
escutando os murmurios
insanos dos arquitetos
que sobreviveram. Pelo
que entendi, depois
de tantos anos, ainda
estao pensando em como
salvar o Imperador.

Por favor, poupe-os
da morte. Eles nao
sao inimigos.","I've spent a few years
keenly listening to the
murmurs of the surviving
architects. From what I've
understood, after all these
years, they're still trying
to figure out how to save
the Imperator.

Please, spare them from
death. They are not enemies.",boat
ch2_fase3.scroll,"Se alguem descobrisse
o motivo da formacao
ter dado errado de
maneira tao infortuna,
sera que algum deles
entenderia?

Talvez se nao
houvera decorrido
tanto tempo...","If anyone found the reason
why the formation had gone
wrong in such an unfortunate
way, would any of them
understand?

Maybe if it hadn't been
so much time since then...
Maybe...",boat
ch2_fase4.scroll,"Descanse em paz,
Imperador Adriano.

* Voce encontrou a
Formacao Astrologica
do Imperador Adriano.","Rest in Peace,
Imperator Hadrianus.

* You have found the
Emperor Hadrian
Astrological
Formation.",boat
SCROLL_ENTER,Pressione ENTER para fechar.,Press ENTER to close.,PRESS ENTER TO SINK
ERRO_FATAL_HEADER,Um erro fatal ocorreu.,A fatal exception has occurred.,THE SHIP JUST CRASHED
ERRO_FATAL_TECLA,Aperte 4 para fechar o jogo.,Press 4 to close the game.,PRESS 4 TO MAROON GAME
EDITOR_MENU_PRINCIPAL_OPCAO_1,1. EDITAR,1. EDIT,1. SAIL
EDITOR_MENU_PRINCIPAL_OPCAO_2,2. CONFIGURACOES,2. SETTINGS,2. SHIP
EDITOR_MENU_PRINCIPAL_OPCAO_3,3. CREDITOS,3. CREDITS,3. CREW
EDITOR_MENU_PRINCIPAL_OPCAO_4,4. SAIR,4. EXIT,4. SINK
EDITOR_MENU_ESCOLHA,Escolha uma opcao:,Choose an option:,CHOOSE YER COURSE
EDITOR_MENU_EDITAR_OPCAO_1,1. NOVO,1. NEW,1. SWAG
EDITOR_MENU_EDITAR_OPCAO_2,2. CARREGAR,2. LOAD,2. LOOT
EDITOR_MENU_CARREGAR_PROMPT,Insira o nome do arquivo:,Enter file name:,ENTER CHART NAME
EDITOR_MENU_CARREGAR_NAO_ENCONTRADO,Arquivo nao encontrado!,File not found!,CHART NOT FOUND
EDITOR_MENU_CARREGAR_OPCAO_ESC,Esc. VOLTAR,Esc. RETURN,ESC. BACK
EDITOR_MENU_CONFIG_OPCAO_1,1. IDIOMA,1. LANGUAGE,1. TONGUE
EDITOR_MENU_CONFIG_OPCAO_2_MUTAR,2. MUTAR,2. MUTE,2. PIPE DOWN
EDITOR_MENU_CONFIG_OPCAO_2_DESMUTAR,2. DESMUTAR,2. UNMUTE,2. SOUND THE HORN
EDITOR_MENU_IDIOMA_PROMPT,Escolha o idioma:,Choose language:,CHOOSE CREW LINGO:
EDITOR_MENU_IDIOMA_PT,1. Portugues Brasileiro,1. Portugues Brasileiro,1. Portugues Brasileiro
EDITOR_MENU_IDIOMA_EN,2. English (US),2. English (US),2. English (US)
EDITOR_MENU_IDIOMA_BOAT,3. Barco,3. Boat,3. BOAT!!!
EDITOR_MENU_OPCAO_9,9. VOLTAR,9. RETURN,9. BACK
ARQUIVO_SEM_TITULO,Sem Titulo,Untitled,DRAFT
EDITOR_UI_ESC,Esc -,Esc -,ESC -
EDITOR_UI_OPTIONS,Opcoes,Options,RIGGINGS
EDITOR_UI_TILES,Tiles,Tiles,TILES
EDITOR_UI_NPCS,NPCs,NPCs,BUCKOS
EDITOR_OPCOES_CARREGAR_TEXTURA,1. Carregar Textura,1. Load Texture,1. REDRESS CHART
EDITOR_OPCOES_REDIMENSIONAR_MAPA,2. Redimensionar Mapa,2. Resize Map,2. RESCALE CHART
EDITOR_OPCOES_SALVAR,3. Salvar,3. Save,3. SAVE CHART
EDITOR_OPCOES_SALVAR_COMO,4. Salvar como...,4. Save as...,4. SAVE CHART AS...
EDITOR_OPCOES_VOLTAR,Esc. Voltar ao editor,Esc. Return to editor,Esc. BACK TO CHART
EDITOR_OPCOES_RETORNAR,9. Sair ao Menu Principal,9. Exit to Main Menu,9. SINK TO MAIN VESSEL
EDITOR_MENU_TITULO,Redimensione usando W A S D,Resize with W A S D,RESCALE WITH W A S D
EDITOR_MENU_REDIMENSIONAR_CONTROLES,"W. Diminuir altura
A. Diminuir largura
S. Aumentar altura
D. Aumentar largura","W. Decrease height
A. Decrease width
S. Increase height
D. Increase width","W. SHORTEN NORTH
A. SHORTEN WEST
S. LENGHTEN SOUTH
D. LENGHTEN EAST"
EDITOR_MENU_CONFIRMAR,Enter. Confirmar,Enter. Confirm,Enter. RECHART
EDITOR_MENU_SALVAR_NOME_INVALIDO,Nome de arquivo invalido!,Invalid file name!,SAILOR! THAT NAME IS INVALID!
EDITOR_ARQUIVO_SALVO,Fase salva com sucesso.,Level saved successfully.,CHART SAVED SUCCESSFULLY!!!
EDITOR_ERRO_SALVAR,Ocorreu um erro ao salvar.,An error occured while saving.,FAILED TO SAVE CHART.
